scenario,channels,exposure,collateral,exposure_per_collateral,fraud_payoff,deterred
selection_only,1,1,1,1,19/20,False
selection_only,2,2,1,2,39/20,False
selection_only,4,4,1,4,79/20,False
selection_only,8,8,1,8,159/20,False
selection_only,16,16,1,16,319/20,False
illustrative_stress,1,1,1,1,195383/200000,False
illustrative_stress,2,2,1,2,395383/200000,False
illustrative_stress,4,4,1,4,795383/200000,False
illustrative_stress,8,8,1,8,1595383/200000,False
illustrative_stress,16,16,1,16,3195383/200000,False
no_data,1,1,1,1,1,False
no_data,2,2,1,2,2,False
no_data,4,4,1,4,4,False
no_data,8,8,1,8,8,False
no_data,16,16,1,16,16,False
no_challenger,1,1,1,1,1,False
no_challenger,2,2,1,2,2,False
no_challenger,4,4,1,4,4,False
no_challenger,8,8,1,8,8,False
no_challenger,16,16,1,16,16,False
finality_stall,1,1,1,1,1,False
finality_stall,2,2,1,2,2,False
finality_stall,4,4,1,4,4,False
finality_stall,8,8,1,8,8,False
finality_stall,16,16,1,16,16,False
